1 0.0 1  0.0 7.95346045181092e-8
1 0.0 2  32.66 0.27324254455149555
1 0.0 3  32.79 0.2763538447263497
1 0.0 4  32.79 0.273735568525615
1 0.0 5  66.91 0.035526366633394785
1 0.0 6  66.91 0.0352192689993647
1 0.0 7  67.05 0.0356058782477228
1 0.0 8  68.3 5.7003329855921206e-5
1 0.0 9  68.82 2.3901065341114433e-6
1 0.0 10  69.54 0.00010957960680657587
1 0.0 11  70.78 7.345566999395775e-5
1 0.0 12  71.03 9.610157035528848e-5
1 0.0 13  88.27 1.4941659913684515e-5
1 0.0 14  88.53 2.9682592687412814e-7
1 0.0 15  88.84 2.4338064777366705e-5
1 0.0 16  89.37 6.78353231141559e-5
1 0.0 17  89.86 0.00045185556701745136
1 0.0 18  90.16 1.1294523129158479e-5
1 0.0 19  90.23 2.63601681551369e-5
1 0.0 20  91.31 3.5839536807847494e-6
1 0.0 21  93.68 0.0003712441983785406
1 0.0 22  97.19 0.00040765152393977923
1 0.0 23  97.87 7.228845457863292e-5
1 0.0 24  100.23 7.436518632487795e-7
1 0.0 25  101.45 1.1095872799356745e-7
1 0.0 26  101.45 6.840653161040446e-8
1 0.0 27  127.32 7.54529481352194e-5
1 0.0 28  127.33 5.950879776374573e-5
1 0.0 29  127.35 0.0004728940213067457
1 0.0 30  127.4 9.386507174100762e-5
1 0.0 31  127.66 0.00041660443629226945
1 0.0 32  127.67 0.0020380608736319354
1 0.0 33  128.46 5.0081787022538113e-5
1 0.0 34  128.52 0.006853200591574084
1 0.0 35  128.72 0.0009277732397804248
1 0.0 36  129.22 3.336802012068081e-5
1 0.0 37  129.41 1.7869663618653805e-5
1 0.0 38  129.78 0.0026875949307741663
1 0.0 39  130.47 0.0012394653029104581
1 0.0 40  131.13 0.001490592134363204
1 0.0 41  132.14 0.00055637518508653
1 0.0 42  132.62 7.770974264639915e-7
1 0.0 43  134.3 0.002090908155306604
1 0.0 44  134.31 0.0006163724198302896
1 0.0 45  136.48 0.002772092676070395
1 0.0 46  137.15 0.0017457529278659917
1 0.0 47  138.04 0.0012170960071946231
1 0.0 48  138.54 0.00012722769274025654
1 0.0 49  139.22 0.0002402142657718933
1 0.0 50  141.3 0.00012635507208172558
1 0.0 51  142.65 0.00029643381168480636
1 0.0 52  143.68 0.0001355715205712257
1 0.0 53  149.14 0.00016984334581239777
1 0.0 54  149.35 0.00013978736420888914
1 0.0 55  149.75 0.0003707346341146307
1 0.0 56  150.05 0.00012161992418669908
1 0.0 57  150.07 0.0006011558204544405
1 0.0 58  150.89 0.0009481017199219057
1 0.0 59  151.22 0.00048353547444268387
1 0.0 60  151.23 0.000115954384305782
1 0.0 61  151.39 1.8088917156831758e-6
1 0.0 62  152.55 0.0016485004854954698
1 0.0 63  152.9 0.000462052434437811
1 0.0 64  152.91 3.8754073504354684e-5
1 0.0 65  153.36 0.0005078858201015453
1 0.0 66  153.47 0.0006668869470246686
1 0.0 67  154.56 0.0004390302634490299
1 0.0 68  155.13 0.0020596573813479076
1 0.0 69  155.31 1.5778036919754465e-5
1 0.0 70  155.52 0.0008517312052293212
1 0.0 71  156.59 0.0008656563663207671
1 0.0 72  157.37 0.0008349476332322355
1 0.0 73  158.63 4.039436725014615e-6
1 0.0 74  159.31 0.0011319749003092698
1 0.0 75  159.42 0.0002730023947979674
1 0.0 76  160.25 6.041687656131513e-5
1 0.0 77  161.03 0.00021581538261939722
1 0.0 78  161.17 0.0002081918217865764
1 0.0 79  161.88 8.423186406920951e-5
1 0.0 80  161.92 8.933009949610916e-5
1 0.0 81  162.21 0.00032576598662005534
1 0.0 82  162.24 0.0003952815633014097
1 0.0 83  162.84 0.0001746569753899398
1 0.0 84  163.31 0.0007436077392683457
1 0.0 85  163.76 0.0003439776856223214
1 0.0 86  188.29 1.4854962422248816e-5
1 0.0 87  188.29 2.20361805856504e-6
1 0.0 88  189.75 5.174228009626394e-5
1 0.0 89  189.75 2.052653556730682e-5
1 0.0 90  190.68 6.539770772098331e-5
1 0.0 91  190.68 1.563187649944129e-5
1 0.0 92  190.8 9.488043490477799e-5
1 0.0 93  190.95 0.00034884666007858347
1 0.0 94  191.71 9.715653738977473e-6
1 0.0 95  192.46 0.0005310917606373344
1 0.0 96  192.5 1.21825788521066e-5
1 0.0 97  192.56 1.4655596745525427e-5
1 0.0 98  192.64 0.00010231515345361098
1 0.0 99  192.69 0.0005279429061483659
1 0.0 100  192.75 6.619353387375935e-6
2 32.66 2  0.0 1.2749764878320024e-5
2 32.66 3  0.13 1.0602361001154486e-5
2 32.66 4  0.14 2.246458298426534e-5
2 32.66 5  34.25 5.237517189624731e-6
2 32.66 6  34.25 5.724909467625336e-6
2 32.66 7  34.4 1.2777136070887568e-6
2 32.66 8  35.64 0.04381366849271442
2 32.66 9  36.17 0.02097490742586428
2 32.66 10  36.88 0.04713962428846544
2 32.66 11  38.13 0.020668554130875323
2 32.66 12  38.37 0.032623868352760495
2 32.66 13  55.61 0.02679842824976791
2 32.66 14  55.87 0.045664612362948345
2 32.66 15  56.19 0.0609676789379847
2 32.66 16  56.72 0.017300843505966248
2 32.66 17  57.21 0.013758180774234102
2 32.66 18  57.5 0.0027804705314438513
2 32.66 19  57.57 0.005085709125423889
2 32.66 20  58.65 0.014995021203365905
2 32.66 21  61.02 0.040168836117728736
2 32.66 22  64.53 0.01707753556710222
2 32.66 23  65.21 0.023142366079845416
2 32.66 24  67.57 0.0004264794640670915
2 32.66 25  68.79 0.03111083123776838
2 32.66 26  68.79 0.0359104125422207
2 32.66 27  94.66 0.0010487122326139373
2 32.66 28  94.67 0.01551242207830257
2 32.66 29  94.7 0.0009608454580273195
2 32.66 30  94.74 0.0070310159068341805
2 32.66 31  95.0 0.00010195379267584142
2 32.66 32  95.02 0.0006035040748849568
2 32.66 33  95.8 0.02090752631186444
2 32.66 34  95.87 0.0003946201269417615
2 32.66 35  96.07 0.001604671109062356
2 32.66 36  96.57 0.005368214784637036
2 32.66 37  96.76 0.008322222655695356
2 32.66 38  97.13 0.0008461851308152032
2 32.66 39  97.81 0.00039444655143779897
2 32.66 40  98.47 0.0008112737489872179
2 32.66 41  99.49 0.001011266786473689
2 32.66 42  99.96 0.005844420105675013
2 32.66 43  101.64 0.0006509336335612392
2 32.66 44  101.66 0.0002456567548078559
2 32.66 45  103.82 0.007995024610840031
2 32.66 46  104.5 0.0017749438407360055
2 32.66 47  105.38 0.0002125649687281334
2 32.66 48  105.89 0.0007914790595487101
2 32.66 49  106.57 0.0038299217943241577
2 32.66 50  108.65 0.013859727501704479
2 32.66 51  109.99 0.015339865995066449
2 32.66 52  111.02 0.01344555398409072
2 32.66 53  116.48 3.638290913559215e-5
2 32.66 54  116.7 0.0009326104322513086
2 32.66 55  117.09 0.00016694469667372287
2 32.66 56  117.39 0.0010083882457550357
2 32.66 57  117.42 0.0005540749664741351
2 32.66 58  118.23 4.132585690578643e-5
2 32.66 59  118.57 4.453607052820722e-5
2 32.66 60  118.57 0.00011469034312312391
2 32.66 61  118.73 0.00012908322096466795
2 32.66 62  119.89 0.00038802201773463545
2 32.66 63  120.25 0.0001719223205394139
2 32.66 64  120.25 0.007181288079565968
2 32.66 65  120.7 0.004267914812795381
2 32.66 66  120.81 6.840461405941197e-5
2 32.66 67  121.91 0.001329324226369732
2 32.66 68  122.47 2.876701458276746e-5
2 32.66 69  122.66 0.0009404228918640251
2 32.66 70  122.86 0.0018220972263091441
2 32.66 71  123.93 0.006431643218314628
2 32.66 72  124.71 0.004158683358571941
2 32.66 73  125.97 0.000905846089498142
2 32.66 74  126.65 6.400766885102379e-5
2 32.66 75  126.76 0.015022504608265128
2 32.66 76  127.6 0.0004432933704543791
2 32.66 77  128.37 4.294924744739763e-5
2 32.66 78  128.51 0.0001534924349619978
2 32.66 79  129.22 7.485152121347408e-6
2 32.66 80  129.26 8.531912882174962e-6
2 32.66 81  129.56 0.00012025477900619395
2 32.66 82  129.58 6.501400811014981e-5
2 32.66 83  130.18 4.1419270770127605e-6
2 32.66 84  130.65 0.002255851232416828
