1 0.0 1  0.0 4.387042436201853e-8
1 0.0 2  32.52 0.29159809592557195
1 0.0 3  32.56 0.2911856519074813
1 0.0 4  32.56 0.29118467206638904
1 0.0 5  65.06 0.040387900643476485
1 0.0 6  65.07 0.0404994515776009
1 0.0 7  65.07 0.04049806020089983
1 0.0 8  67.35 1.7986782210520853e-5
1 0.0 9  67.35 1.600863400537992e-5
1 0.0 10  67.85 5.889323683680233e-6
1 0.0 11  67.87 1.3774095776906718e-6
1 0.0 12  67.87 2.0264194271562637e-6
1 0.0 13  88.52 2.348586709634325e-7
1 0.0 14  88.53 5.856487989667545e-8
1 0.0 15  88.53 5.734408388632833e-8
1 0.0 16  90.09 2.4234840983003262e-8
1 0.0 17  90.09 2.423948142967253e-8
1 0.0 18  90.39 2.3681963258250378e-8
1 0.0 19  90.39 2.8164871429751456e-8
1 0.0 20  92.03 3.306733233289754e-8
1 0.0 21  93.27 8.428595148223969e-9
1 0.0 22  93.27 8.320480159061151e-9
1 0.0 23  93.3 3.3644709524975124e-13
1 0.0 24  97.55 5.22718682533011e-9
1 0.0 25  97.55 5.136648351379641e-9
1 0.0 26  97.58 8.808482845563877e-12
1 0.0 27  117.6 2.004385854883196e-9
1 0.0 28  118.87 2.914555149820888e-11
1 0.0 29  118.87 3.5947404930931256e-11
1 0.0 30  118.9 1.7645962112726265e-12
1 0.0 31  119.52 1.3602183500630031e-5
1 0.0 32  119.52 1.360335497968973e-5
1 0.0 33  119.53 1.3739807032548877e-5
1 0.0 34  128.63 5.570646879976038e-8
1 0.0 35  128.63 4.1185643859989723e-8
1 0.0 36  129.22 5.089059765547186e-6
1 0.0 37  129.25 4.905975351587041e-6
1 0.0 38  129.25 4.897541273350199e-6
1 0.0 39  129.56 1.8102292188360728e-8
1 0.0 40  129.56 3.664733893260373e-8
1 0.0 41  129.58 9.177225788024579e-8
1 0.0 42  132.4 8.023467050755146e-13
1 0.0 43  132.4 6.336125217127595e-10
1 0.0 44  132.41 6.441993724475166e-10
1 0.0 45  132.49 1.548014408194308e-9
1 0.0 46  132.49 1.536017469846429e-9
1 0.0 47  141.01 1.3267536856194205e-8
1 0.0 48  141.26 2.2265703835286182e-9
1 0.0 49  141.27 1.2313296225087117e-9
1 0.0 50  141.27 1.1291434119250559e-9
1 0.0 51  141.39 3.4382097643087747e-8
1 0.0 52  141.39 2.862782218250451e-8
1 0.0 53  147.26 1.86764923754718e-10
1 0.0 54  147.27 1.4714211333590178e-8
1 0.0 55  147.27 1.0651952982728472e-8
1 0.0 56  147.48 8.587797306782693e-9
1 0.0 57  147.49 3.9923753349489353e-10
1 0.0 58  147.51 2.6981758459738375e-9
1 0.0 59  147.51 2.739846201011893e-9
1 0.0 60  147.75 8.067687837893635e-9
1 0.0 61  148.08 1.3347039533464741e-6
1 0.0 62  148.08 1.3316082615980246e-6
1 0.0 63  148.09 1.4044793163308797e-6
1 0.0 64  148.61 1.3979478652748124e-9
1 0.0 65  148.61 1.235707022288485e-9
1 0.0 66  148.63 1.6216270502730261e-13
1 0.0 67  153.8 0.0002346004411942395
1 0.0 68  153.81 0.0002352048653087052
1 0.0 69  153.81 0.00023525995531673658
1 0.0 70  154.65 1.2300879083265944e-8
1 0.0 71  154.65 2.8299533986167392e-8
1 0.0 72  154.68 1.2834273649395961e-8
1 0.0 73  155.22 4.7987544568176725e-11
1 0.0 74  155.22 2.1694737999369856e-10
1 0.0 75  155.24 2.8559420914263025e-12
1 0.0 76  156.67 7.461017905906416e-5
1 0.0 77  156.67 7.45765532837859e-5
1 0.0 78  156.68 7.492715234070163e-5
1 0.0 79  157.16 1.470420903901362e-9
1 0.0 80  157.16 3.167974874681516e-9
1 0.0 81  157.19 1.057812555364271e-8
1 0.0 82  157.73 1.1049561390873814e-10
1 0.0 83  157.74 2.313279988019372e-8
1 0.0 84  157.74 5.013934396437575e-8
1 0.0 85  165.76 1.0344697547298184e-10
1 0.0 86  165.76 1.2169337328996046e-10
1 0.0 87  165.79 2.207575083682833e-12
1 0.0 88  166.97 1.3778163458456014e-9
1 0.0 89  166.97 1.4230863936418497e-9
1 0.0 90  170.3 0.00020429661122453097
1 0.0 91  170.32 0.00020522518668177606
1 0.0 92  170.32 0.00020524147262317974
1 0.0 93  178.34 1.768162593833391e-8
1 0.0 94  178.35 6.688284869011323e-9
1 0.0 95  178.36 2.3204243149444395e-9
1 0.0 96  178.98 4.724420798708082e-9
1 0.0 97  178.98 1.653845947654325e-9
1 0.0 98  179.7 2.2655424177479882e-8
1 0.0 99  179.7 2.7693200554998913e-8
1 0.0 100  179.71 1.1747908572623861e-9
2 32.52 2  0.0 2.8755544421112363e-6
2 32.52 3  0.04 3.7242840801018054e-7
2 32.52 4  0.04 2.035807571207884e-7
2 32.52 5  32.55 2.6544844858835368e-6
2 32.52 6  32.56 1.550567452424681e-5
2 32.52 7  32.56 1.73605383558852e-5
2 32.52 8  34.84 0.0725222562744079
2 32.52 9  34.84 0.07193642119928462
2 32.52 10  35.33 0.11666949028934158
2 32.52 11  35.35 0.02709383903458082
2 32.52 12  35.35 0.027296849389513784
2 32.52 13  56.01 0.03625096011548653
2 32.52 14  56.02 0.009111282386598831
2 32.52 15  56.02 0.008924584165729695
2 32.52 16  57.57 2.4222985808495946e-8
2 32.52 17  57.57 3.472030601009627e-8
2 32.52 18  57.87 0.009753494877748726
2 32.52 19  57.87 0.009843106541431008
2 32.52 20  59.51 0.007875880186981184
2 32.52 21  60.75 5.655144582926463e-9
2 32.52 22  60.75 5.31540326653079e-9
2 32.52 23  60.79 2.618289910701547e-9
2 32.52 24  65.04 0.024146694644600453
2 32.52 25  65.04 0.02414868523197431
2 32.52 26  65.06 6.721236496811539e-7
2 32.52 27  85.09 4.964906121974037e-6
2 32.52 28  86.35 1.2427896416828805e-6
2 32.52 29  86.35 1.2587019003459702e-6
2 32.52 30  86.38 2.0278361209930926e-8
2 32.52 31  87.01 4.1161856612058304e-7
2 32.52 32  87.01 2.0797689976293305e-7
2 32.52 33  87.02 3.292272346145438e-8
2 32.52 34  96.11 0.024342123184930935
2 32.52 35  96.11 0.024570323724524046
2 32.52 36  96.71 0.0013224039811400975
2 32.52 37  96.73 3.802566333237471e-5
2 32.52 38  96.73 2.861814205622069e-5
2 32.52 39  97.05 0.016440748532610103
2 32.52 40  97.05 0.01705652122789362
2 32.52 41  97.06 0.06351822538738318
2 32.52 42  99.88 3.005775846634459e-8
2 32.52 43  99.89 2.2314369633853147e-7
2 32.52 44  99.89 1.408649941458865e-7
2 32.52 45  99.97 6.096679727808478e-7
2 32.52 46  99.97 6.377243399376864e-7
2 32.52 47  108.5 0.0009967067111828964
2 32.52 48  108.75 0.016256492762458774
2 32.52 49  108.76 0.004859243154782101
2 32.52 50  108.76 0.004928444116974526
2 32.52 51  108.88 0.016701786317856484
2 32.52 52  108.88 0.016871198781401905
2 32.52 53  114.74 5.550248040930721e-10
2 32.52 54  114.75 1.7134099859831076e-6
2 32.52 55  114.75 1.6880073306396097e-6
2 32.52 56  114.97 0.0012177735195515644
2 32.52 57  114.98 1.602280504357077e-7
2 32.52 58  114.99 0.0003178343273859118
2 32.52 59  114.99 0.0003123221105332312
2 32.52 60  115.23 8.613282723565481e-7
2 32.52 61  115.56 2.7622276775368473e-7
2 32.52 62  115.56 4.7027382752012503e-7
2 32.52 63  115.57 2.8211870137242813e-6
2 32.52 64  116.09 3.0662214913453423e-7
2 32.52 65  116.09 5.677253296332995e-7
2 32.52 66  116.12 2.715891540679097e-8
2 32.52 67  121.29 1.2349452702311993e-6
2 32.52 68  121.29 9.190424684871192e-8
2 32.52 69  121.29 1.5504072542913948e-7
2 32.52 70  122.13 0.00037618387511119655
2 32.52 71  122.13 0.000376749662120717
2 32.52 72  122.16 4.956037758020627e-8
2 32.52 73  122.71 2.0926678861909947e-7
2 32.52 74  122.71 1.2450481459812082e-8
2 32.52 75  122.72 2.154938999089583e-7
2 32.52 76  124.16 8.358491791826203e-6
2 32.52 77  124.16 9.074495280168018e-6
2 32.52 78  124.16 6.957342600922813e-6
2 32.52 79  124.65 0.004882516618490258
2 32.52 80  124.65 0.004953302208957386
2 32.52 81  124.67 0.0209147398445426
2 32.52 82  125.21 6.314556643486718e-5
2 32.52 83  125.23 0.00972416385906088
2 32.52 84  125.23 0.009720396267821459
2 32.52 85  133.25 5.6784548852356506e-8
2 32.52 86  133.25 4.8765701986155206e-8
2 32.52 87  133.27 1.3438290176222992e-9
2 32.52 88  134.46 5.926448406588369e-10
2 32.52 89  134.46 5.943932919518311e-10
2 32.52 90  137.78 8.273099693773376e-9
2 32.52 91  137.8 3.234297572088374e-8
2 32.52 92  137.8 2.203205503645519e-8
2 32.52 93  145.82 1.8597449453135907e-6
2 32.52 94  145.84 5.443528114266249e-7
2 32.52 95  145.84 5.344351697521108e-7
2 32.52 96  146.46 3.46829479723812e-7
2 32.52 97  146.46 3.5013966148943763e-7
2 32.52 98  147.18 3.426542864091579e-5
2 32.52 99  147.18 3.398413200710229e-5
2 32.52 100  147.19 2.6714078535957913e-7
3 32.56 3  0.0 1.7538066422869568e-6
3 32.56 4  0.0 1.3683314936779786e-6
