2 32.8 46  104.78 0.0031547457222563338
2 32.8 47  106.61 0.010047020077461187
2 32.8 48  111.17 0.017088670976086184
2 32.8 49  111.19 0.00681502009646584
2 32.8 50  111.22 0.007957566374252751
2 32.8 51  111.23 0.01466163302759321
2 32.8 52  111.25 0.010710269768642346
2 32.8 53  120.58 4.4722621030224814e-5
2 32.8 54  120.63 4.022656083300384e-5
2 32.8 55  120.64 0.0001101068178050897
2 32.8 56  120.65 6.938468230966015e-5
2 32.8 57  120.68 0.00013753873911945592
2 32.8 58  120.69 4.268195327135694e-5
2 32.8 59  120.72 0.0001182952794669791
2 32.8 60  126.15 0.0002598200165385981
2 32.8 61  126.17 2.4466773871956906e-5
2 32.8 62  126.22 0.00031203932031516747
2 32.8 63  127.68 0.012026004058336622
2 32.8 64  127.71 0.0064132719872856975
2 32.8 65  127.71 0.0119875273276925
2 32.8 66  127.72 0.005949835822300614
2 32.8 67  127.74 0.012671365426498889
2 32.8 68  129.64 5.757697896281793e-6
2 32.8 69  129.65 9.095028680780017e-6
2 32.8 70  129.67 1.1324862923462175e-5
2 32.8 71  129.71 1.1099721030342e-5
2 32.8 72  129.72 3.2252190608823805e-5
2 32.8 73  129.74 1.4466422403155292e-5
2 32.8 74  129.76 8.292611204810206e-6
2 32.8 75  132.25 9.77882051691829e-5
2 32.8 76  132.26 1.8691549021208603e-5
2 32.8 77  132.29 2.900885691574085e-5
2 32.8 78  132.33 9.759921873151781e-5
2 32.8 79  132.35 0.00014823368248241168
2 32.8 80  132.35 0.0002517895542787895
2 32.8 81  132.38 0.00035330193948903424
2 32.8 82  132.39 0.00024679170238225116
2 32.8 83  140.08 2.120888532151996e-5
2 32.8 84  140.18 1.1088309930072115e-5
2 32.8 85  140.22 1.9472844253239275e-5
2 32.8 86  166.18 7.738854295782998e-6
2 32.8 87  166.23 9.420755968150373e-5
2 32.8 88  166.25 6.024518536169923e-5
2 32.8 89  166.26 5.725981967914793e-5
2 32.8 90  166.27 6.858432695110102e-5
2 32.8 91  166.28 1.845437755271705e-5
2 32.8 92  166.31 0.00023545849165670785
2 32.8 93  166.32 0.00018903427432793012
2 32.8 94  166.33 0.00012116360684126149
2 32.8 95  166.46 0.00017504865239941565
2 32.8 96  166.48 0.0003966524043064487
2 32.8 97  166.51 0.0005474277537524162
2 32.8 98  166.52 0.000564240472096554
2 32.8 99  166.55 9.395386627647255e-5
2 32.8 100  167.89 0.0005042700781734699
3 32.81 3  0.0 8.636393128250697e-6
3 32.81 4  0.07 2.017607510528357e-5
3 32.81 5  34.37 3.3108878408303395e-6
3 32.81 6  34.38 9.766889660306275e-6
3 32.81 7  34.4 7.879816199640755e-6
3 32.81 8  36.83 0.017806380275041406
3 32.81 9  36.85 0.022432047921152096
3 32.81 10  36.87 0.037894585923572956
3 32.81 11  36.88 0.03731142848968237
3 32.81 12  36.96 0.012183618468573833
3 32.81 13  58.6 0.009786574047956955
3 32.81 14  58.62 0.011348731815028816
3 32.81 15  58.63 0.02641143882292397
3 32.81 16  58.63 0.009042961008543503
3 32.81 17  58.65 0.02065906281554506
3 32.81 18  60.54 0.10034013154301327
3 32.81 19  60.57 0.0327832537670869
3 32.81 20  60.6 0.047806331413565425
3 32.81 21  60.61 0.036239150006953824
3 32.81 22  60.62 0.027003942954925503
3 32.81 23  61.26 0.0015768404009117174
3 32.81 24  67.22 0.016131208857508083
3 32.81 25  67.25 0.020962712800615246
3 32.81 26  67.3 0.028867174229829373
3 32.81 27  96.05 6.47384439397615e-5
3 32.81 28  96.05 3.924109297006035e-5
3 32.81 29  96.08 6.0040890238424205e-5
3 32.81 30  96.08 7.349364141525578e-5
3 32.81 31  96.09 8.792720292701264e-5
3 32.81 32  96.11 4.707368661836301e-5
3 32.81 33  96.12 1.0514236465655375e-5
3 32.81 34  100.35 0.039816965979460654
3 32.81 35  100.46 0.014126260302397314
3 32.81 36  100.48 0.009500967314748966
3 32.81 37  100.52 0.00887639540914538
3 32.81 38  100.52 0.0036562117111523466
3 32.81 39  101.81 0.00042809625220824245
3 32.81 40  101.89 0.0006715363285850065
3 32.81 41  101.89 0.0005269584820065381
3 32.81 42  104.71 0.002937478605590827
3 32.81 43  104.73 0.003777128085423057
3 32.81 44  104.74 0.01330537522491572
3 32.81 45  104.77 0.008589479155982783
3 32.81 46  104.78 0.0025052526026639044
3 32.81 47  106.61 0.0009100612412007111
3 32.81 48  111.17 0.04079906988550152
3 32.81 49  111.19 0.00687221558779509
3 32.81 50  111.21 0.012422498089856526
3 32.81 51  111.23 0.03158476565629556
3 32.81 52  111.25 0.025398392633291977
3 32.81 53  120.58 4.9541001296036004e-5
3 32.81 54  120.63 1.917833838720216e-5
3 32.81 55  120.63 0.00018445536701036829
3 32.81 56  120.64 1.5207551788135291e-5
3 32.81 57  120.67 0.00015558404993603765
3 32.81 58  120.69 8.509834094369213e-5
3 32.81 59  120.72 5.693649076190855e-5
3 32.81 60  126.15 0.00041739986511312745
3 32.81 61  126.17 0.0006801550887281291
3 32.81 62  126.22 0.0004999036604755141
3 32.81 63  127.67 0.0017313634754230812
3 32.81 64  127.71 0.0048862287788279685
3 32.81 65  127.71 0.02184804563448021
3 32.81 66  127.71 0.007511214586666357
3 32.81 67  127.74 0.011033812271075213
3 32.81 68  129.64 6.899408092729075e-6
3 32.81 69  129.65 4.2322766523190575e-6
3 32.81 70  129.67 5.686559923206546e-6
3 32.81 71  129.71 1.567320179210945e-5
3 32.81 72  129.72 1.096262934943056e-5
3 32.81 73  129.73 1.142168910186178e-5
3 32.81 74  129.76 2.021071150264447e-5
3 32.81 75  132.25 8.907434431360857e-5
3 32.81 76  132.26 3.896936029007655e-5
3 32.81 77  132.28 5.131875812530262e-5
3 32.81 78  132.33 0.00031808878280075684
3 32.81 79  132.35 0.0002569086233445919
3 32.81 80  132.35 0.0005057761708506952
3 32.81 81  132.37 0.0006819299463595744
3 32.81 82  132.39 0.0005618247573181588
3 32.81 83  140.08 1.062289122453549e-6
3 32.81 84  140.18 8.36164641352659e-6
3 32.81 85  140.21 1.5532781252416936e-5
3 32.81 86  166.17 1.051868506650347e-5
3 32.81 87  166.22 4.9080001891927334e-5
3 32.81 88  166.25 5.495322979574329e-5
3 32.81 89  166.26 9.353422258378258e-5
3 32.81 90  166.27 5.8440994914201076e-5
3 32.81 91  166.28 7.018267363234131e-5
3 32.81 92  166.31 9.586845187212637e-5
3 32.81 93  166.32 7.492227574852163e-5
3 32.81 94  166.32 5.539248064448549e-5
3 32.81 95  166.46 0.000289268304426443
3 32.81 96  166.48 0.0005831805830225935
3 32.81 97  166.51 0.0004967933640465941
3 32.81 98  166.52 0.0003292439880484285
3 32.81 99  166.55 0.00042015010632708233
3 32.81 100  167.88 0.0008711024371048513
4 32.88 4  0.0 1.6292290362834748e-5
4 32.88 5  34.29 1.028070571213107e-5
4 32.88 6  34.3 7.984648527880304e-6
4 32.88 7  34.33 8.318273262471747e-6
4 32.88 8  36.75 0.023416017215240514
4 32.88 9  36.77 0.04804097006023817
4 32.88 10  36.8 0.043451513896909204
4 32.88 11  36.8 0.044203906312972024
4 32.88 12  36.89 0.018091127897957016
4 32.88 13  58.52 0.012424997349043735
4 32.88 14  58.55 0.022291698136870767
4 32.88 15  58.56 0.026678358351761952
4 32.88 16  58.56 0.011464229596489201
4 32.88 17  58.57 0.008133577315427229
