rotational analysis para
#nmax= 2 NR= 11 Ntheta= 11 Nphi= 11
#jmax= 2 Nalpha= 11 Nphi= 11 Nchi= 11
0.0
1 0.0 0.9389560758934209
2 37.15857925999999 0.02004506298320678
3 37.15857925999999 0.020045062983206838
4 37.158579259999996 0.020045062983206866

32.88856625303903
1 0.0 0.2020072995962198
2 37.15857925999999 0.5456676358935736
3 37.15857925999999 0.04658839488464547
4 37.158579259999996 0.1855552299762577

32.88856625303905
1 0.0 0.20200729959621988
2 37.15857925999999 0.582423072817269
3 37.15857925999999 0.08488753488491126
4 37.158579259999996 0.11050065305229644

32.88856625303951
1 0.0 0.2020072995962201
2 37.15857925999999 0.04565211117541587
3 37.15857925999999 0.7277968504344818

67.26956359304344
1 0.0 0.7288565685779226
2 37.15857925999999 0.10874417132184827
3 37.15857925999999 0.08839006705676201
4 37.158579259999996 0.0687172167845872

67.26956359304366
1 0.0 0.7288565685779226
2 37.15857925999999 0.12386999597331359
3 37.15857925999999 0.03678874081987789
4 37.158579259999996 0.1051927183700061

67.26956359304556
1 0.0 0.7288565685779244
2 37.15857925999999 0.038879805811230454
3 37.15857925999999 0.14530795651732445
4 37.158579259999996 0.08166369283464105

69.77199134770154
1 0.0 0.015296377250437065
2 37.15857925999999 0.04072683727381165
3 37.15857925999999 0.05140106339780908
4 37.158579259999996 0.03847367468012439
5 70.1327540850525 0.055792833253817196
6 70.13275408505251 0.06023199023353253
7 70.13275408505251 0.012348476850569095
8 70.13275408505251 0.12199930016907365
9 70.13275408505255 0.06199258541347402
10 95.24446445999993 0.047438905261377035
11 95.24446446 0.1072820200084765
12 95.24446446000002 0.033130225667436675
14 95.2444644600001 0.021644128282895077
15 136.58744815494748 0.05846802851167009
16 136.58744815494748 0.05985764952395998
17 136.58744815494748 0.13151200134501512
18 136.5874481549475 0.06199266439953525
19 136.5874481549475 0.013128464459894356

69.7719913477027
1 0.0 0.015296377250436432
2 37.15857925999999 0.030863495724397554
3 37.15857925999999 0.05453193726956382
4 37.158579259999996 0.04520614235778088
5 70.1327540850525 0.04381123044448038
6 70.13275408505251 0.08227086855173557
7 70.13275408505251 0.037377701394353854
8 70.13275408505251 0.061995043551972634
9 70.13275408505255 0.07662616657935374
10 95.24446445999993 0.05802087267245451
11 95.24446446 0.054845013476601145
12 95.24446446000002 0.06308145857957972
13 95.24446446000005 0.01764966528585107
14 95.2444644600001 0.039711822300468574
15 136.58744815494748 0.0945156510420781
16 136.58744815494748 0.04710876437538743
17 136.58744815494748 0.06661655641058514
18 136.5874481549475 0.0704325709986456
19 136.5874481549475 0.04003866173427326

69.77199134770365
1 0.0 0.01529637725043665
2 37.15857925999999 0.06641597108151984
3 37.15857925999999 0.03966472565523155
4 37.158579259999996 0.024520878614991595
5 70.1327540850525 0.012379992219207218
6 70.13275408505251 0.05148402069241257
7 70.13275408505251 0.1634741312401551
8 70.13275408505251 0.03150182526137015
9 70.13275408505255 0.0546938458457913
10 95.24446445999993 0.018058046693886137
11 95.24446446 0.02774070317716532
12 95.24446446000002 0.045917370815259775
13 95.24446446000005 0.059165948234218994
14 95.2444644600001 0.0640175300246698
15 136.58744815494748 0.04639503985535588
16 136.58744815494748 0.013175518042168663
17 136.58744815494748 0.033932874346721244
18 136.5874481549475 0.05574959934336472
19 136.5874481549475 0.1764156016060737

69.77199134770369
1 0.0 0.015296377250436928
2 37.15857925999999 0.037936738235932896
3 37.15857925999999 0.05281151599569256
4 37.158579259999996 0.039853321120119134
5 70.1327540850525 0.06012902281903711
6 70.13275408505251 0.06109594733174239
7 70.13275408505251 0.03946329427216735
8 70.13275408505251 0.08179561167957296
9 70.13275408505255 0.05771243301956919
10 95.24446445999993 0.05813573132610216
11 95.24446446 0.07215049611077924
12 95.24446446000002 0.05135450358342502
13 95.24446446000005 0.017889745097023943
14 95.2444644600001 0.03680782441069261
15 136.58744815494748 0.06870699242532118
16 136.58744815494748 0.06477025128572354
17 136.58744815494748 0.08802985477423127
18 136.5874481549475 0.05373419475287711
19 136.5874481549475 0.042326144509554166

69.7719913477045
1 0.0 0.015296377250437181
2 37.15857925999999 0.03525381421293806
3 37.15857925999999 0.03176424738470319
4 37.158579259999996 0.06358351375410452
5 70.1327540850525 0.09790137813877173
6 70.13275408505251 0.09536433351031183
7 70.13275408505251 0.040607926654869606
9 70.13275408505255 0.10947077505651663
10 95.24446445999993 0.06293674372746345
12 95.24446446000002 0.03000643549734638
13 95.24446446000005 0.017463444730409238
14 95.2444644600001 0.03149718068456856
15 136.58744815494748 0.07216527637318886
16 136.58744815494748 0.10520323555791998
17 136.58744815494748 0.01056396593164929
18 136.5874481549475 0.11825751645094291
19 136.5874481549475 0.043641563667768044

91.54360306142705
1 0.0 0.17836064705670365
2 37.15857925999999 0.23440916249439933
3 37.15857925999999 0.12642246616962266
4 37.158579259999996 0.2492900115624515
5 70.1327540850525 0.018446924448420464
6 70.13275408505251 0.020789295511194565
8 70.13275408505251 0.016580388280207616
9 70.13275408505255 0.022591957097387535
10 95.24446445999993 0.02331362838432277
11 95.24446446 0.024183938681482692
12 95.24446446000002 0.013460831631515138
15 136.58744815494748 0.012487427336740357
16 136.58744815494748 0.012628423379567526
17 136.58744815494748 0.011665736792007282
18 136.5874481549475 0.016511575723803306

91.54360306142749
1 0.0 0.17836064705670238
2 37.15857925999999 0.2719438375334606
3 37.15857925999999 0.20070319872204032
4 37.158579259999996 0.13747460397097494
5 70.1327540850525 0.0164155401675595
7 70.13275408505251 0.02745735386819562
10 95.24446445999993 0.02184955309882569
11 95.24446446 0.012258377472811091
12 95.24446446000002 0.021325615100978045
13 95.24446446000005 0.018935947049015096
14 95.2444644600001 0.024042462962235032
16 136.58744815494748 0.011480715915533285
19 136.5874481549475 0.018640873726115437

91.54360306142767
1 0.0 0.17836064705670404
2 37.15857925999999 0.13463981297455266
3 37.15857925999999 0.3284412900649678
4 37.158579259999996 0.14704053718695512
6 70.13275408505251 0.015469317820558064
7 70.13275408505251 0.02058359796677934
8 70.13275408505251 0.015057199090102981
9 70.13275408505255 0.014934195015430635
10 95.24446445999993 0.013580464993133328
11 95.24446446 0.02226764467406865
12 95.24446446000002 0.02120352633649393
13 95.24446446000005 0.014256050599489313
14 95.2444644600001 0.01905671149272621
15 136.58744815494748 0.01114897789441163
17 136.58744815494748 0.010396635899270198
19 136.5874481549475 0.014083682021342801

91.54360306142867
1 0.0 0.17836064705670282
2 37.15857925999999 0.2174463560343426
3 37.15857925999999 0.1762598255355493
4 37.158579259999996 0.2164154586565838
6 70.13275408505251 0.024592414336629943
8 70.13275408505251 0.02191808227889611
9 70.13275408505255 0.026212111212252098
10 95.24446445999993 0.012890372833334246
11 95.24446446 0.032386599406120306
12 95.24446446000002 0.014031494052476464
15 136.58744815494748 0.015158702547172278
17 136.58744815494748 0.015151623116616438
18 136.5874481549475 0.018762273686492137

91.54360306142915
1 0.0 0.17836064705670432
2 37.15857925999999 0.14536366570565235
