2 32.89 41  101.89 4.0800565096165065e-28
2 32.89 42  104.79 1.0021493928575857e-28
2 32.89 43  104.79 9.337292235633657e-29
2 32.89 44  104.79 1.9865188146445907e-29
2 32.89 45  104.79 5.9276385882679914e-30
2 32.89 46  104.79 1.3733328072175608e-29
2 32.89 47  106.67 0.0009369727834354292
2 32.89 48  111.27 0.008830898571022958
2 32.89 49  111.27 0.014023547079256201
2 32.89 50  111.27 0.00760088969723907
2 32.89 51  111.27 0.01071149981434574
2 32.89 52  111.27 0.002373775329388837
2 32.89 53  120.7 9.439398591640447e-31
2 32.89 54  120.7 2.0180133132870984e-30
2 32.89 55  120.7 3.4899422659584035e-29
2 32.89 56  120.7 8.27384940219733e-30
2 32.89 57  120.7 2.9820519584862335e-31
2 32.89 58  120.7 8.505907344879856e-31
2 32.89 59  120.7 1.437579842688333e-29
2 32.89 60  126.24 0.00011751314236249465
2 32.89 61  126.24 0.0003005473480558038
2 32.89 62  126.24 0.00032517555368986574
2 32.89 63  127.75 0.006702219833814768
2 32.89 64  127.75 0.011163972452722984
2 32.89 65  127.75 0.0029002914078754658
2 32.89 66  127.75 0.014368151143523309
2 32.89 67  127.75 0.01193371611575234
2 32.89 68  129.75 1.2466195828404805e-29
2 32.89 69  129.75 1.5660864320683044e-30
2 32.89 70  129.75 9.8043790589837e-31
2 32.89 71  129.75 5.245229563765526e-29
2 32.89 72  129.75 1.4189382336891298e-28
2 32.89 73  129.75 8.219700829777633e-31
2 32.89 74  129.75 2.32170010029099e-28
2 32.89 75  132.35 1.1516035730118116e-30
2 32.89 76  132.35 7.895798538012397e-31
2 32.89 77  132.35 4.605429816006182e-30
2 32.89 78  132.43 8.92274667318707e-31
2 32.89 79  132.43 8.168724827166213e-30
2 32.89 80  132.43 5.664590028441411e-30
2 32.89 81  132.43 3.119876501751297e-29
2 32.89 82  132.43 1.5014267696680025e-29
2 32.89 83  140.23 6.927417605024667e-30
2 32.89 84  140.23 2.636382904068342e-30
2 32.89 85  140.23 1.9671784597110982e-30
2 32.89 86  166.33 4.8821898858858977e-32
2 32.89 87  166.33 5.351774280950722e-32
2 32.89 88  166.33 2.2851160906887272e-32
2 32.89 89  166.33 1.0518078508980472e-31
2 32.89 90  166.33 6.135032609029022e-32
2 32.89 91  166.33 7.367756706014289e-31
2 32.89 92  166.33 4.302934702351971e-31
2 32.89 93  166.33 5.924523599844062e-31
2 32.89 94  166.33 3.426608842151751e-31
2 32.89 95  166.57 1.0531199942403186e-30
2 32.89 96  166.57 1.86016860166191e-30
2 32.89 97  166.57 3.1236371350144203e-31
2 32.89 98  166.57 1.7653448327150634e-30
2 32.89 99  166.57 5.445058558440636e-32
2 32.89 100  168.03 1.6445313131534464e-5
3 32.89 3  0.0 3.1508381492658465e-31
3 32.89 4  0.0 2.6559455927731274e-30
3 32.89 5  34.38 2.7344153929196324e-28
3 32.89 6  34.38 1.4278315625657436e-30
3 32.89 7  34.38 1.318717017495674e-29
3 32.89 8  36.88 0.041544272566367474
3 32.89 9  36.88 0.06354264567822424
3 32.89 10  36.88 0.07508229979436362
3 32.89 11  36.88 0.06580474991449095
3 32.89 12  36.88 0.05791143655403083
3 32.89 13  58.66 0.018891598554441794
3 32.89 14  58.66 0.023789123667186433
3 32.89 15  58.66 0.004960630137599481
3 32.89 16  58.66 0.01132133936132805
3 32.89 17  58.66 0.01668577671730731
3 32.89 18  60.62 4.0483668287078794e-27
3 32.89 19  60.62 3.873543821121568e-29
3 32.89 20  60.62 1.4324529445269647e-28
3 32.89 21  60.62 9.762353854780693e-29
3 32.89 22  60.62 8.229907595577868e-29
3 32.89 23  61.25 0.006518431962082646
3 32.89 24  67.27 0.01357410539733641
3 32.89 25  67.27 0.011229190441098625
3 32.89 26  67.27 0.019298578609038455
3 32.89 27  96.13 2.955107168732976e-29
3 32.89 28  96.13 1.5781574297873774e-28
3 32.89 29  96.13 3.4334411887077026e-29
3 32.89 30  96.13 3.748213347094234e-29
3 32.89 31  96.13 4.407338576420445e-30
3 32.89 32  96.13 2.6826033051840904e-30
3 32.89 33  96.13 4.694936093418708e-31
3 32.89 34  100.54 0.02983243226082933
3 32.89 35  100.54 0.05243193062142378
3 32.89 36  100.54 0.027410499697892617
3 32.89 37  100.54 0.03163251378331262
3 32.89 38  100.54 0.03436855765984043
3 32.89 39  101.89 7.704801992231894e-29
3 32.89 40  101.89 1.3274098343572523e-27
3 32.89 41  101.89 6.236359088899229e-28
3 32.89 42  104.79 1.4774218017757884e-28
3 32.89 43  104.79 1.087410783323717e-28
3 32.89 44  104.79 1.123671355775341e-29
3 32.89 45  104.79 1.343392246558758e-29
3 32.89 46  104.79 2.9687662005744005e-29
3 32.89 47  106.67 0.0009369727834353236
3 32.89 48  111.27 0.008893548506369111
3 32.89 49  111.27 0.008505267122926211
3 32.89 50  111.27 0.010011896909495525
3 32.89 51  111.27 0.01000890344995928
3 32.89 52  111.27 0.01003478646129048
3 32.89 53  120.7 1.7442711991285865e-30
3 32.89 54  120.7 3.622445831028972e-30
3 32.89 55  120.7 1.3353574351041098e-29
3 32.89 56  120.7 1.1809373614080218e-29
3 32.89 57  120.7 3.361224581216951e-31
3 32.89 58  120.7 1.0198663863336088e-29
3 32.89 59  120.7 8.017609542939285e-30
3 32.89 60  126.24 0.0003659456461584312
3 32.89 61  126.24 0.00022160653430249443
