rotational analysis ortho
#nmax= 1 NR= 11 Ntheta= 11 Nphi= 11
#jmax= 2 Nalpha= 11 Nphi= 11 Nchi= 11
-5.353984622907446e-14
3 23.799358559999998 0.21849362618585058
5 42.402163299999984 0.20879154149033996
6 42.40216329999999 0.029374902557458435
10 79.51371234 0.05006799153231226
11 79.51371234 0.024791594711477783
12 135.32212655999996 0.03337866102154284
14 135.32212655999996 0.012395797355738633
16 135.32212655999996 0.0347784930995623

-4.164210262261347e-14
1 23.79935855999999 0.015497434213346215
2 23.799358559999998 0.029159967524904726
3 23.799358559999998 0.038142796822045154
5 42.402163299999984 0.4018810159155155
6 42.40216329999999 0.18548807436982695
10 79.51371234 0.06368348417803041
11 79.51371234 0.02350544617000013
12 135.32212655999996 0.04245565611868745
14 135.32212655999996 0.01175272308499974

-2.3795487212921982e-14
1 23.79935855999999 0.1303531481205596
2 23.799358559999998 0.1806550761459809
3 23.799358559999998 0.10397222519591043
4 42.402163299999984 0.07801700683084886
5 42.402163299999984 0.4373414656262097
6 42.40216329999999 0.13112070900615524
7 79.51371233999998 0.010879923442090607
10 79.51371234 0.01827971884811395
11 79.51371234 0.018343966690012536
12 135.32212655999996 0.012186479232075376
13 135.32212655999996 0.016319885163135987

1.7846615409691486e-14
1 23.79935855999999 0.044938804287549344
2 23.799358559999998 0.08767370478383807
3 23.799358559999998 0.03798605462047114
4 42.402163299999984 0.33969412949644573
5 42.402163299999984 0.03571245990855499
7 79.51371233999998 0.019019187913743567
9 79.51371234 0.045227845096350236
13 135.32212655999996 0.028528781870613525
15 135.32212655999996 0.016820709462864944

1.0113082065491842e-13
1 23.79935855999999 0.04963599016217786
2 23.799358559999998 0.10287910474597048
3 23.799358559999998 0.19229097093478884
4 42.402163299999984 0.13262918116996683
5 42.402163299999984 0.26868903610076955
6 42.40216329999999 0.3895401058584917
10 79.51371234 0.033660870755376535
11 79.51371234 0.031120851888537568
12 135.32212655999996 0.022440580503583368
14 135.32212655999996 0.015560425944268999

2.0226164130983684e-13
1 23.79935855999999 0.34817938911351054
2 23.799358559999998 0.37156085211038425
3 23.799358559999998 0.08087537363389728
4 42.402163299999984 0.07549877262295111
5 42.402163299999984 0.12146495424093573
7 79.51371233999998 0.014084001579755255
13 135.32212655999996 0.02112600236963265
15 135.32212655999996 0.017327908868343053

6.326464307216045
2 23.799358559999998 0.022846297546960048
5 42.402163299999984 0.010599946660833071
7 79.51371233999998 0.025770794969183476
8 79.51371234 0.028508180599717697
9 79.51371234 0.04882717606540101
10 79.51371234 0.1216995375380845
12 135.32212655999996 0.16825762884898773
14 135.32212655999996 0.27096838238518595
15 135.32212655999996 0.0921705605865136

6.326464307216081
1 23.79935855999999 0.06063470114865271
3 23.799358559999998 0.01582724461591577
4 42.402163299999984 0.013846250818299996
5 42.402163299999984 0.010426165132952695
7 79.51371233999998 0.3720019389614673
8 79.51371234 0.07089457508605938
9 79.51371234 0.04707020761411419
10 79.51371234 0.030913943801966305
12 135.32212655999996 0.015623476198556759
13 135.32212655999996 0.04372240858514553
14 135.32212655999996 0.053194600133782834
15 135.32212655999996 0.10121685981161907
16 135.32212655999996 0.02995278203230949

6.326464307216087
1 23.79935855999999 0.0409179437528962
2 23.799358559999998 0.0234712947726683
3 23.799358559999998 0.028537403616726867
4 42.402163299999984 0.04330349592907371
6 42.40216329999999 0.015118724105413425
7 79.51371233999998 0.2727748338726676
8 79.51371234 0.03088633975020943
9 79.51371234 0.12219215344489551
10 79.51371234 0.09330542678340338
11 79.51371234 0.017200868238704828
13 135.32212655999996 0.04399568803284204
14 135.32212655999996 0.17038647277507832
15 135.32212655999996 0.14832210703197513
16 135.32212655999996 0.11170062481321864

6.326464307216111
1 23.79935855999999 0.03447791310981487
2 23.799358559999998 0.015515586705405864
3 23.799358559999998 0.020521452341260644
4 42.402163299999984 0.057091013443104244
6 42.40216329999999 0.020642849448968114
7 79.51371233999998 0.10148753525616375
8 79.51371234 0.07943672863708053
9 79.51371234 0.15079726430663987
10 79.51371234 0.17495830024389797
11 79.51371234 0.13391686313929985
13 135.32212655999996 0.0770253705380491
14 135.32212655999996 0.09698873302307152
15 135.32212655999996 0.0543748039239552

6.32646430721614
3 23.799358559999998 0.02237950415111812
4 42.402163299999984 0.027834662166379767
5 42.402163299999984 0.032515543561068234
6 42.40216329999999 0.028590598104987684
8 79.51371234 0.04595840835071164
9 79.51371234 0.13649662458429127
10 79.51371234 0.040199659014626694
11 79.51371234 0.023666032416148286
12 135.32212655999996 0.21555368263196503
13 135.32212655999996 0.010664107694402767
14 135.32212655999996 0.1522368771421168
15 135.32212655999996 0.06768248129659916
16 135.32212655999996 0.0248743577156326

6.326464307216158
1 23.79935855999999 0.013126507991064252
2 23.799358559999998 0.017077741729355
3 23.799358559999998 0.024747090914085494
5 42.402163299999984 0.022646413931320955
6 42.40216329999999 0.013730227926875425
7 79.51371233999998 0.07740585582965534
8 79.51371234 0.06087399543684561
9 79.51371234 0.04344594568864525
10 79.51371234 0.09262067556104542
11 79.51371234 0.20450937342493955
13 135.32212655999996 0.2826144289197802
14 135.32212655999996 0.06690414281806847
15 135.32212655999996 0.07625205762839499
16 135.32212655999996 0.1349433208213791

6.326464307216164
4 42.402163299999984 0.011671818608055324
5 42.402163299999984 0.01716232418756908
6 42.40216329999999 0.05200702176465893
7 79.51371233999998 0.13577735246584902
8 79.51371234 0.030482979876188594
9 79.51371234 0.034855354816986886
10 79.51371234 0.3108791028598167
11 79.51371234 0.04119189816095541
