2 32.75 46  106.23 0.00023840535145499943
2 32.75 47  106.84 0.003723388334816085
2 32.75 48  109.33 0.00013240548176477002
2 32.75 49  109.76 0.002195443718756257
2 32.75 50  110.9 0.008928618412893437
2 32.75 51  112.1 0.01143149817385491
2 32.75 52  112.74 0.008802229970765334
2 32.75 53  119.61 3.8577583874349084e-5
2 32.75 54  120.06 0.00014606692019695654
2 32.75 55  121.63 0.0056134175643981245
2 32.75 56  121.74 0.00201155877361957
2 32.75 57  123.05 2.9172214459533507e-5
2 32.75 58  123.24 0.00034408218376515864
2 32.75 59  123.64 0.0002186283120135226
2 32.75 60  124.23 0.003944376067963065
2 32.75 61  125.29 0.01007810631274737
2 32.75 62  125.37 0.0007198419964965801
2 32.75 63  126.42 0.0003918315417039098
2 32.75 64  126.98 5.455513140907269e-5
2 32.75 65  128.62 0.01371674153889475
2 32.75 66  130.16 0.000270075658424338
2 32.75 67  130.21 0.00017853826373188413
2 32.75 68  130.5 0.00040498175869978475
2 32.75 69  130.84 7.142553605226633e-6
2 32.75 70  130.99 0.00011281634480552022
2 32.75 71  131.21 5.303969432484253e-5
2 32.75 72  131.36 0.0035327362120028405
2 32.75 73  131.42 6.9088016753869425e-6
2 32.75 74  131.76 0.0133153585151713
2 32.75 75  132.57 0.0003464957048973305
2 32.75 76  132.69 1.471998032509379e-5
2 32.75 77  132.75 6.77597041326461e-5
2 32.75 78  132.89 0.0001495883423437155
2 32.75 79  133.1 0.0002807943119059343
2 32.75 80  133.15 3.2503533180895154e-6
2 32.75 81  133.3 7.376565597294946e-5
2 32.75 82  133.37 7.168061638912783e-6
2 32.75 83  136.51 0.00015630466021741618
2 32.75 84  137.4 7.917688023604368e-5
2 32.75 85  137.75 5.6350502596112814e-5
2 32.75 86  165.9 7.365631189578021e-5
2 32.75 87  166.6 0.00012888995177725115
2 32.75 88  166.6 7.80222835072565e-5
2 32.75 89  166.6 1.0926356899141708e-5
2 32.75 90  166.6 4.45550568020947e-5
2 32.75 91  166.6 4.9774811200866606e-5
2 32.75 92  166.6 2.7196832652960854e-5
2 32.75 93  166.6 7.742281575133307e-5
2 32.75 94  166.69 8.719354989519048e-5
2 32.75 95  166.71 3.373919871013018e-5
2 32.75 96  166.81 0.0011531704690565345
2 32.75 97  167.16 0.0003368749468305572
2 32.75 98  167.56 0.000245905882823634
2 32.75 99  167.56 0.00012719998753727782
2 32.75 100  168.08 1.6793694552096134e-5
3 32.87 3  0.0 1.3101091078652689e-5
3 32.87 4  0.0 5.624988093596818e-6
3 32.87 5  34.55 2.5839567039207014e-6
3 32.87 6  34.56 8.986487315741217e-6
3 32.87 7  34.69 1.8315875126871296e-6
3 32.87 8  35.61 0.06676020925216693
3 32.87 9  36.09 0.013361414088836973
3 32.87 10  36.88 0.032383583186680984
3 32.87 11  38.11 0.03519423692716922
3 32.87 12  38.35 0.016478289873996743
3 32.87 13  56.59 0.00492336909566761
3 32.87 14  57.09 0.026485719700985337
3 32.87 15  57.59 0.034464416969875344
3 32.87 16  58.16 0.003100203043291847
3 32.87 17  58.17 0.005965840134975332
3 32.87 18  59.4 0.03733180719309134
3 32.87 19  59.44 0.03362320843149705
3 32.87 20  60.83 0.010806360467803963
3 32.87 21  61.11 0.0018550432003119662
3 32.87 22  64.34 0.03329930117312359
3 32.87 23  65.01 0.006086555217438579
3 32.87 24  67.41 0.037135178671134736
3 32.87 25  68.63 0.028935819012703607
3 32.87 26  68.63 0.0005061974387881922
3 32.87 27  97.06 0.0005263200041379626
3 32.87 28  97.08 0.0015591138345620174
3 32.87 29  97.39 0.0001381356765107902
3 32.87 30  97.54 0.002740888583790722
3 32.87 31  97.95 0.00027120375681337697
3 32.87 32  98.49 0.00030978758065961073
3 32.87 33  98.78 0.014468107848650723
3 32.87 34  98.94 0.03037085000193553
3 32.87 35  99.04 0.00035984715448479177
3 32.87 36  99.67 0.0006772597976540907
3 32.87 37  99.74 9.032461173887371e-5
3 32.87 38  100.76 0.023446150335403607
3 32.87 39  100.91 0.002792131046939139
3 32.87 40  101.9 4.309932658513447e-5
3 32.87 41  101.96 0.0013134326840592951
3 32.87 42  101.97 0.020907545563479
3 32.87 43  102.24 0.012086893826771649
3 32.87 44  104.97 0.002451542136776403
3 32.87 45  105.67 0.006393574253271652
3 32.87 46  106.11 0.0002780963996598801
3 32.87 47  106.71 0.00041962962080222785
3 32.87 48  109.2 0.004274773010062097
3 32.87 49  109.64 0.004373841101751734
3 32.87 50  110.77 0.01640234156967982
3 32.87 51  111.98 0.031952830358884896
3 32.87 52  112.61 0.014622366297618275
3 32.87 53  119.48 6.373071244523862e-5
3 32.87 54  119.94 4.050259513750043e-5
3 32.87 55  121.5 0.0056881160932749815
3 32.87 56  121.62 0.008335651710858713
3 32.87 57  122.92 0.0001391824235317495
3 32.87 58  123.12 0.002104871320092847
3 32.87 59  123.52 0.00026886264421936554
3 32.87 60  124.1 0.002386960383259373
3 32.87 61  125.17 0.025511387695146312
3 32.87 62  125.25 0.0006435216113048878
3 32.87 63  126.3 4.4692929976912613e-7
3 32.87 64  126.86 9.159703636072297e-5
3 32.87 65  128.49 0.011222082795471005
3 32.87 66  130.04 0.0010754867489326417
3 32.87 67  130.08 5.864775959989863e-5
3 32.87 68  130.38 0.0001569765976847018
3 32.87 69  130.72 2.6221645129982728e-5
3 32.87 70  130.87 1.2235169602661431e-5
3 32.87 71  131.09 0.00010359691838903294
3 32.87 72  131.24 0.0041155950904086264
3 32.87 73  131.3 1.546511308684242e-5
3 32.87 74  131.63 0.00763201695030084
3 32.87 75  132.44 9.001849944734209e-5
3 32.87 76  132.57 4.746365905164396e-6
3 32.87 77  132.63 1.54530793038016e-5
3 32.87 78  132.77 0.0005263128531753218
3 32.87 79  132.98 8.53595439375291e-5
3 32.87 80  133.02 1.8714057978677297e-5
3 32.87 81  133.17 1.418801387226417e-5
3 32.87 82  133.25 4.8787981677120705e-6
3 32.87 83  136.39 0.0003973598095402914
3 32.87 84  137.28 6.132957103263944e-5
3 32.87 85  137.63 9.842971933482845e-5
3 32.87 86  165.78 2.672829627933111e-5
3 32.87 87  166.47 7.886010074260297e-5
3 32.87 88  166.47 5.130137262447764e-5
3 32.87 89  166.47 7.191058509949303e-5
3 32.87 90  166.47 2.0319906994405565e-5
3 32.87 91  166.47 9.039806095568753e-5
3 32.87 92  166.47 4.13730876771106e-5
3 32.87 93  166.47 1.9635159813197395e-5
3 32.87 94  166.57 0.00029430620538121045
3 32.87 95  166.58 0.00035174353688301294
3 32.87 96  166.68 1.5958144198382353e-5
3 32.87 97  167.04 5.7982709629160096e-5
3 32.87 98  167.44 0.0007794961673414312
3 32.87 99  167.44 6.339912180906976e-5
3 32.87 100  167.96 6.325991803406336e-5
4 32.88 4  0.0 2.2439519631763972e-5
4 32.88 5  34.55 2.347483994486358e-6
4 32.88 6  34.55 9.653105601327174e-6
4 32.88 7  34.69 2.717644221661477e-6
4 32.88 8  35.61 0.021199182396080207
4 32.88 9  36.08 0.012313764241679783
4 32.88 10  36.87 0.025469141364410915
4 32.88 11  38.11 0.011660100974117843
4 32.88 12  38.35 0.03885783101579848
4 32.88 13  56.59 0.03582373082684991
4 32.88 14  57.08 0.015840772743311818
4 32.88 15  57.59 0.003772605852519813
4 32.88 16  58.16 0.05521734830842616
4 32.88 17  58.17 0.014779013507730195
4 32.88 18  59.4 0.01638189376922459
4 32.88 19  59.44 0.030431467655883275
4 32.88 20  60.83 0.07678386692154121
4 32.88 21  61.1 0.003559524393827256
4 32.88 22  64.34 0.017831861249834758
4 32.88 23  65.01 0.04291880738008161
4 32.88 24  67.41 0.037364472194479484
4 32.88 25  68.63 0.00035044209209995696
4 32.88 26  68.63 0.03217022910176315
4 32.88 27  97.06 0.0011389937778622003
4 32.88 28  97.08 0.00014133634786925688
4 32.88 29  97.39 0.0007508520213787441
4 32.88 30  97.54 0.0009949558694928716
4 32.88 31  97.94 0.0002939774172357129
4 32.88 32  98.49 0.00046541908747017776
4 32.88 33  98.78 0.007860564598532899
4 32.88 34  98.93 0.01575221555257374
4 32.88 35  99.03 0.0002031705482625477
4 32.88 36  99.67 0.001997939884555675
4 32.88 37  99.74 0.000976558773055652
4 32.88 38  100.75 0.018656972001428445
4 32.88 39  100.91 0.0017499086100614108
4 32.88 40  101.89 0.00033305816596578946
4 32.88 41  101.96 0.0005178963081339569
4 32.88 42  101.97 0.009616828672738071
4 32.88 43  102.24 0.007506364759945414
4 32.88 44  104.97 0.01817154411605833
4 32.88 45  105.67 0.0016450099625048965
4 32.88 46  106.1 0.00068413739059305
4 32.88 47  106.71 0.0009487841767652364
4 32.88 48  109.2 0.006433997163592286
4 32.88 49  109.63 0.0018021358365024503
4 32.88 50  110.77 0.0083459786182554
4 32.88 51  111.98 0.024204232297907493
4 32.88 52  112.61 0.013839116816673536
4 32.88 53  119.48 1.9353706491181887e-5
4 32.88 54  119.94 2.544645277712228e-5
4 32.88 55  121.5 0.005627924463298856
4 32.88 56  121.62 0.003442087139149498
4 32.88 57  122.92 6.868197153238827e-5
4 32.88 58  123.12 0.0005595828554336241
4 32.88 59  123.51 4.289496194853998e-5
4 32.88 60  124.1 0.004014775956090235
4 32.88 61  125.17 0.015191966349677464
4 32.88 62  125.24 0.0007567549829567179
4 32.88 63  126.3 3.1973399146851056e-5
4 32.88 64  126.86 3.6113556364815626e-5
4 32.88 65  128.49 0.013462033577205297
4 32.88 66  130.04 0.00019577206089809034
4 32.88 67  130.08 0.00014888931399032235
4 32.88 68  130.38 0.0009832186256338294
4 32.88 69  130.72 1.3757394109807195e-5
4 32.88 70  130.86 0.00023092435377406777
4 32.88 71  131.08 2.3834920436532594e-5
4 32.88 72  131.24 0.0041848441896237135
4 32.88 73  131.3 1.0807750509649389e-5
4 32.88 74  131.63 0.004134782509963911
4 32.88 75  132.44 0.000665983360184938
4 32.88 76  132.56 1.6546403795972164e-5
4 32.88 77  132.63 0.00011064552829132736
4 32.88 78  132.76 0.00010144670002532372
4 32.88 79  132.97 0.0004538349619656103
4 32.88 80  133.02 4.449408770165104e-6
4 32.88 81  133.17 0.00013482009489693773
4 32.88 82  133.24 1.0450254581380394e-5
4 32.88 83  136.38 0.00016069503559531593
4 32.88 84  137.28 0.00020812733017883488
4 32.88 85  137.62 5.9911599933307916e-5
4 32.88 86  165.78 0.0001674037263920578
4 32.88 87  166.47 6.345021946602117e-5
4 32.88 88  166.47 2.6383810282132682e-5
4 32.88 89  166.47 5.928977375824324e-5
4 32.88 90  166.47 4.994014448924006e-5
4 32.88 91  166.47 0.00011436611713745414
4 32.88 92  166.47 3.5189438576221196e-5
4 32.88 93  166.47 5.490366456483407e-5
4 32.88 94  166.57 3.996516680322673e-6
4 32.88 95  166.58 0.0001471235403924544
4 32.88 96  166.68 5.32380355019178e-5
4 32.88 97  167.03 0.00034576800981403347
4 32.88 98  167.43 0.0001383592413667366
4 32.88 99  167.44 2.5560390832731293e-5
4 32.88 100  167.95 6.984935335008555e-5
5 67.43 5  0.0 6.675101458945933e-7
5 67.43 6  0.0 2.2697456100006197e-6
5 67.43 7  0.14 1.0477974222975768e-6
5 67.43 8  1.06 0.013910381818935696
5 67.43 9  1.53 0.009767276645311325
5 67.43 10  2.32 0.008937128267861314
5 67.43 11  3.55 0.0530212241391046
5 67.43 12  3.8 0.024013697309743925
5 67.43 13  22.04 0.0014241505539105447
5 67.43 14  22.53 0.007177170229864223
5 67.43 15  23.04 0.09202433462973753
5 67.43 16  23.61 0.00031801166489644984
5 67.43 17  23.62 0.032027498461334354
5 67.43 18  24.85 0.12175006542756027
5 67.43 19  24.88 0.0868339141739543
5 67.43 20  26.28 0.0027995441369599323
5 67.43 21  26.55 0.07221897769334128
5 67.43 22  29.79 0.00957035642220976
5 67.43 23  30.46 0.001622179982116108
5 67.43 24  32.85 0.11051624590596154
5 67.43 25  34.07 0.12046934296678936
5 67.43 26  34.08 0.0003467253721415984
5 67.43 27  62.51 6.447261516421063e-5
5 67.43 28  62.53 0.0001337546896500236
5 67.43 29  62.84 4.4591298021278886e-5
5 67.43 30  62.99 0.0006878706118132889
5 67.43 31  63.39 8.457896519382214e-5
5 67.43 32  63.94 0.00010671600927795227
5 67.43 33  64.22 0.003790017227439463
5 67.43 34  64.38 0.012361186916788858
5 67.43 35  64.48 5.7054516960821366e-5
5 67.43 36  65.12 0.00024842434070414417
5 67.43 37  65.19 2.651513925405972e-5
5 67.43 38  66.2 0.006543075386967329
5 67.43 39  66.35 0.0006199240794447159
5 67.43 40  67.34 5.657370750595928e-5
5 67.43 41  67.4 0.00034720940200009084
5 67.43 42  67.42 0.00842647848045485
5 67.43 43  67.69 0.0028457685456118186
5 67.43 44  70.42 0.0009934808370449233
5 67.43 45  71.12 0.002329137396460051
5 67.43 46  71.55 0.00014268455951803026
5 67.43 47  72.16 0.006457493005155976
5 67.43 48  74.65 0.02154633695363098
5 67.43 49  75.08 0.017305310224943575
5 67.43 50  76.22 0.004891274259000852
5 67.43 51  77.42 0.004574158788173527
5 67.43 52  78.06 0.008554356506210985
5 67.43 53  84.93 0.00021508211081209709
5 67.43 54  85.39 5.387746514201758e-5
5 67.43 55  86.95 0.0014192085273584648
5 67.43 56  87.06 0.002300595727130013
5 67.43 57  88.37 0.00038789024358632245
5 67.43 58  88.57 0.0014514609752372622
5 67.43 59  88.96 0.00018498710582600145
5 67.43 60  89.55 0.004233766971908183
5 67.43 61  90.61 0.008137606245062299
5 67.43 62  90.69 0.00025398833136550727
5 67.43 63  91.74 5.890704947220845e-5
5 67.43 64  92.3 0.00030714168247778444
5 67.43 65  93.94 0.0020680848520359023
5 67.43 66  95.48 0.00025019329913178044
5 67.43 67  95.53 5.544597842110774e-6
5 67.43 68  95.82 8.401239719361648e-5
5 67.43 69  96.17 5.2814822450760016e-5
5 67.43 70  96.31 3.0425113543909268e-5
5 67.43 71  96.53 8.442038399860968e-5
5 67.43 72  96.68 0.0036515635204045476
5 67.43 73  96.74 7.69649277022118e-6
5 67.43 74  97.08 0.001963815405210532
5 67.43 75  97.89 7.667545843066754e-5
5 67.43 76  98.01 1.7708740723736292e-6
5 67.43 77  98.08 1.416831648106164e-5
5 67.43 78  98.21 0.00020560620956234423
